"headline","text","keywords","ratingName"
"Via PUC and Railroad Commission, Smitherman part of seven lawsuits against EPA","Says he 'sued Obama’s EPA seven times.'","Energy,Environment","TRUE"
"Rob Turner says property appraiser's budget is $1 million less than when he took office","The property appraiser's budget 'is $1 million less today than when I took office 16 years ago.'","County Budget","TRUE"
"State Rep. Armond Budish says GOP-approved changes would cut early voting to just six days","Says Republican-approved changes to 'make it more difficult to participate in Ohio elections include reducing in-person early voting from 35 days to six.'","Elections","TRUE"
"Have far fewer """"living-wage jobs"""" come back than were lost in the Great Recession?","'60 percent of the jobs lost in the 2008 recession were living-wage jobs. Of the jobs we’ve gotten back, only 40 percent are living-wage.'","Jobs","TRUE"
"Jasmine the Greyhound","Photographs show Jasmine, a greyhound who cares for other animals at a wildlife sanctuary.","animals, ASP Article","TRUE"
"Already this year, Greg Abbott says, over 20,000 immigrants caught after crossing border into U.S.","'Already this calendar year, since January 1, we have had more than 20,000 people come across the border, apprehended, unauthorized.'","Crime,Criminal Justice,Immigration","TRUE"
"Morgan says we're No. 1 in child hunger","'We’re No. 1 in child hunger.'","Children","TRUE"
"Reed and McCain make a case to save Gen. Petraeus' pension","'It is rare that a retirement grade determination is conducted for an officer previously retired from the U.S. armed forces.'","Afghanistan,Congress,Military","TRUE"
"Pro-Sheriff David Clarke group says Clarke called Black Lives Matter hate group, terrorist movement","Says Milwaukee County Sheriff David A. Clarke Jr. has said Black Lives Matter 'is a terrorist movement, a hate group and calls it, Black LIES Matter.'","Candidate Biography,Civil Rights,Criminal Justice,Legal Issues,Terrorism","TRUE"
"United States Senate Candidate Favors a Woman’s Right to Cook Him Dinner?","A Republican candidate for U.S. Senate for Missouri, Courtland Sykes, said he 'supports women’s rights' but not if that means women become 'career obsessed banshees who forego home life and children and the happiness of family to become nail-biting manophobic hell-bent feminist she devils.'","Claire McCaskill, courtland sykes, feminism, missouri, senate race, women's rights","TRUE"
"Sen. Rob Portman says U.S. trade lags behind other developed nations","Says the United States does not 'trade as much as other developed nations.'","Economy,Trade","TRUE"
"McCaskill is correct: Hawley is endorsed by the Citizens United group","'My opponent is endorsed by Citizens United.'","Campaign Finance","TRUE"
"Did This Crow Ride on the Back of an Eagle?","Photographs show a crow landing on and riding atop an eagle in flight.","animals birds","TRUE"
"Chris Christie: New Jersey gained more jobs in first six months of 2012 than in all of 2011","'We created as many jobs in the first six months of this year as we did in all of 2011 and 2011 was the best single year for private-sector job growth since the year 2000.'","Jobs","TRUE"
"Obama says the deficit was on track to top $1 trillion the year he took office","'The deficit was on track to top $1 trillion the year I took office.'","Deficit,Federal Budget","TRUE"
"Missing Child: Sierra LaMar","A 15-year-old girl named Sierra LaMar is missing from her California home.","ASP Article","TRUE"
"John le Carre America Gone Mad Essay","British spy novelist John le Carré authored an “America gone mad” essay accusing “President Bush of being driven to war by the thirst for oil and power.”","ASP Article","TRUE"
"Bruce Rauner pits father against daughter in Illinois workers' comp battle","Even our attorney general who is a strong Democrat, she has said that we need causation in our workers’ comp system. That’s the No. 1 thing pushing our manufacturing jobs out of Illinois.","Jobs","TRUE"
"CBS Sports' James Brown: 'More than 3 women per day' are killed by their partner","'More than three women per day lose their lives at the hands of their partners.'","Crime,Criminal Justice,Women","TRUE"
"McCain accuses Hayworth of earning 'thousands' as a Washington lobbyist","After J.D. Hayworth 'was voted out of Congress, he became a registered lobbyist' who was 'paid thousands by a Florida corporation to lobby the very committee he used to serve on.'","Candidate Biography,Ethics,Message Machine 2010,Transparency","TRUE"
"Did Paul Krugman Say the Internet’s Effect on the World Economy Would Be ‘No Greater Than the Fax Machine’s’?","Economist Paul Krugman wrote that by 2005, it would become clear that the Internet's effect on the economy is no greater than the fax machine's.","history, internet history, paul krugman, questionable quotes","TRUE"
"Did Facebook Suspend the Account of the Whistleblower Who Exposed Cambridge Analytica?","Whistleblower Christopher Wylie's Facebook account was suspended after he came forward with allegations that Cambridge Analytica improperly acquired users' profile data.","Cambridge Analytica, christopher wylie, facebook, facebook scandal, whistleblower","TRUE"
"On the Job","Applicant with lengthy arrest record successfully disputes being rejected for a job by the District of Columbia’s public school system.","ASP Article, Documentary Evidence","TRUE"
"President Bush Bathroom Break Note","Photograph shows note scrawled by President Bush requesting a bathroom break during a U.N. meeting.","ASP Article","TRUE"
"More arrests in the US for marijuana possession than violent crimes, 2020 hopeful Cory Booker says","'In 2017, we had more marijuana possession arrests in our country than all other violent crimes combined.'","Crime,Drugs","TRUE"
"Can a Crayon Be Used as a Candle?","A coloring crayon can be used as a candle for a short time in an emergency.","Household Hints","TRUE"
"Does China account for 90% of North Korean trade, as Rex Tillerson said?","'China account(s) for 90 percent of North Korean trade.'","China,Foreign Policy,Trade","TRUE"
"Bush Web Site","The domain GeorgeWBush.com hosts the legitimate web site of President Bush’s 2004 re-election campaign.","ASP Article, george w bush","TRUE"
"Gilmore says prime-time GOP presidential debaters never served in military","On the main GOP presidential debate: 'Not one candidate on the debate stage has military experience … '","Candidate Biography,Military","TRUE"
"MARTA official correct about commuters' limited options","Only '18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.'","Economy,Transportation","TRUE"
"Zika Spraying Killed Millions of Bees in South Carolina","Aerial spraying of an insecticide targeting Zika-carrying mosquitoes in South Carolina resulted in the deaths of millions of bees.","Animal Welfare, bees, south carolina, zika virus","TRUE"
"Dame Edna Petition","Dame Edna advised a reader against learning Spanish in her satirical Vanity Fair column.","ASP Article, Petitions","TRUE"
"Stephen Harper: “The past ten years ... [was] a period of unprecedented economic instability.” - FactsCanada","Stephen Harper: “The past ten years ... [was] a period of unprecedented economic instability.” - FactsCanada","CPC, Finance, Stephen Harper","TRUE"
"R.I. coastal official says rising sea levels from climate change could swamp Waterplace Park in Providence and Wickford village","If sea levels rise six feet due to climate change, Waterplace Park in Providence and Wickford village would be swamped","Environment,Science","TRUE"
"Matthew McConaughey Owns a Canned Hunting Ranch in Texas?","Actor Matthew McConaughey co-owns a cattle ranch in Texas that offers canned deer hunts.","ASP Article","TRUE"
"Yes, the Democratic Party is at nearly its weakest point in a century","'When you tally up their representation in Congress and governorships, the Democrats almost have their lowest representation in about 100 years.'","Congress","TRUE"
"Menendez: 'White family is likely to have 6 times as much wealth as a black or Hispanic family coming out of the recession'","'A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.'","Income,Jobs","TRUE"
"GOP Wisconsin Rep. Jim Sensenbrenner says he's done most impeachments in U.S. history","'I've done more impeachments than anybody else in the history of the country.'","Congressional Rules,Criminal Justice,History,Job Accomplishments","TRUE"
"The 2014 Iditarod Featured Snowless Trails?","A photograph shows a musher riding over snowless terrain during the 2014 Iditarod in Alaska.","ASP Article","TRUE"
"Justin Trudeau: """"Over the past 30 years, median after-tax family incomes in Canada, those of the middle class, have only increased by 15 per cent."""" - FactsCanada","Justin Trudeau: 'Over the past 30 years, median after-tax family incomes in Canada, those of the middle class, have only increased by 15 per cent.' - FactsCanada","Incomes, Justin Trudeau, LPC","TRUE"
"Lamar Smith 'first member of Congress to contribute to Donald Trump'","'I was the first member of Congress to contribute to Donald Trump.'","Campaign Finance,Candidate Biography,Elections","TRUE"
"Did Target Stores Ban Salvation Army Bellringers?","Target does not allow Salvation Army bellringers to solicit donations on stores premises.","charity, salvation army, target","TRUE"
"Do Not Call Registry","The federal government has established a national “Do Not Call” registry to stop calls from telemarketers.","ASP Article, Pending Legislation","TRUE"
"Mitch McConnell says more women graduate from college than men do","'More women are graduating from college now than men.'","Education,Women","TRUE"
"Ranks of uninsured high in Georgia","'Georgia has the fifth-highest number of uninsured people of any state in the union.'","Medicaid,State Budget","TRUE"
"Crossroads Grassroots Policy Strategy claims $1.9 million of stimulus money went to African ant research","'(Stimulus money) went to critically important projects like studying ants in Africa.'","Message Machine 2012,Stimulus","TRUE"
"He's right on","'I'm proud to have had a 100 percent pro-life voting record.'","Abortion","TRUE"
"Facebook post says more people were murdered with knives, body parts or blunt objects than with rifles","In 2011, more people were murdered with knives, 'hands or feet' or 'clubs and hammers' than with any type of rifle.","Guns","TRUE"
"Rep. Dave Joyce says the IRS must carry out 47 provisions of the health care law","'47 - New provisions ObamaCare charges the IRS with implementing, according to the Government Accountability Office.'","Health Care,Taxes","TRUE"
"Hannity says Obama won't even use the term """"war on terrorism""""","'Barack Obama won't even use the term 'war on terrorism.''","Iraq,Military,Pundits","TRUE"
"Congressman jumps in fur flap; says cat and dog fur sometimes used on coats","Exporters are using a federal loophole to 'deceptively sell products made from cat and dog fur' to U.S. consumers.","Trade","TRUE"
"Lobbyists live in Obama's glass house","'Sen. Obama's chair in New Hampshire is a lobbyist. He lobbies for the drug companies.'","Ethics","TRUE"
"Dan Ouimette Essay","Naval captain’s speech urges Americans to “wake up” and act decisively in battling terrorism.","ASP Article","TRUE"
"One in three people in New York is on Medicaid","'We now have about one-third of New York’s population on Medicaid.'","Health Care,Medicaid,Taxes","TRUE"
"Are Ugg Boots Made from Sheepskin?","Ugg boots are made from sheepskin.","Crusader Habit","TRUE"
"Shawn Vernon Appeal to Find Lost Shirts","A Marine named Shawn Vernon seeks help in locating a box of lost shirts.","ASP Article, Petitions","TRUE"
"Accidents cut in half after Marquette Interchange work, roadbuilders say","'Accidents are down 50 percent and injury accidents are down 60 percent' in the rebuilt Marquette Interchange in Milwaukee.","Public Safety,State Budget,Transportation","TRUE"
"Best Buy – Happy Eid al-Adha","A Thanksgiving 2009 advertising circular issued by Best Buy wished readers a “Happy Eid al-Adha.”","ASP Article","TRUE"
"Justin Trudeau: “Canada’s unemployment rate is at its lowest level since the 1970s.” - FactsCanada","Justin Trudeau: “Canada’s unemployment rate is at its lowest level since the 1970s.” - FactsCanada","Jobs, Justin Trudeau, LPC","TRUE"
"Tax for the rich only, but not anymore","'The Alternative Minimum Tax was never intended to hit people in middle income, upper middle income. It was meant for people who are rich and evading taxes.'","Taxes","TRUE"
"Premature CNN Obituaries","Technical glitch on CNN web site revealed obituaries for several famous but not-yet-dead people.","CNN, Media Goofs, obituaries","TRUE"
"Georgia, Virginia’s education levels under microscope","Virginia’s educational level among whites is higher than Georgia’s.","Elections,Voting Record","TRUE"
"Bob McDonnell says GOP platform has included an anti-abortion amendment to the constitution without exceptions for “30 years”","The GOP platform that seeks further limits on abortion and is silent on an exception for rape 'has been there for more than 30 years.'","Abortion","TRUE"
"Did the Florida Shooter’s Instagram Profile Picture Feature a ‘MAGA’ Hat?","An Instagram account linked to suspected shooter Nikolas Cruz featured an avatar that included a 'MAGA' hat.","donald trump, maga, mass shooting, nikolas cruz, parkland, school shooting","TRUE"
"Mark Kelly says 94 percent of Floridians support universal background checks","Says '94 percent of (Marco Rubio's) constituents support a universal background check.'","Guns","TRUE"
"Nash on target with Gwinnett population, staff data","Since 2008, Gwinnett County’s population has grown 15 percent, while the county government staff has increased only 1 percent.","Census,County Budget,County Government,Economy,Jobs,Public Safety,Public Service,Workers","TRUE"
"Yes, oil company employees have donated to Obama","'Barack Obama accepted $200,000 from executives and employees of oil companies.'","Energy","TRUE"
"Japanese Hostage Negotiations","Photographs show Asian law enforcement officials negotiating with (and shooting) a suspect who was holding children hostage.","ASP Article, crime","TRUE"
"(Nearly) Frozen Waves","A series of photographs shows  frozen waves off the coast of Nantucket.","Natural Phenomena","TRUE"
"Fracking Firm to Sell Pink Drill Bits for Susan G. Komen Partnership","Oil giant Baker Hughes donated $100,000 to the Susan G. Komen Foundation and now plans to distribute 1000 pink drill bits.","ASP Article","TRUE"
"Was a Saturday Night Live Writer Suspended Over a Tweet About Barron Trump?","A Saturday Night Live writer was suspended for tweeting about Trump's youngest child.","barron trup, saturday night live, SNL","TRUE"
"Statistics don't lie in this case","'More than half of all black children live in single-parent households, a number that has doubled — doubled — since we were children.'","Families","TRUE"
"Rate of spending increases smaller under Cuomo","'We spend less than 2 percent more every year. That is the lowest increase in spending since they have been keeping numbers.'","Economy,State Budget","TRUE"
"Bills Passed by Paul Ryan","Paul Ryan has sponsored two Congressional bills that have been passed into law.","ASP Article, paul ryan","TRUE"
"He uncovered a wasteful mess","'I saved the taxpayers $2-billion on a bogus Air Force Boeing tanker deal where people went to jail.'","Federal Budget","TRUE"
"Sago Palm Dangerous to Pets","Sago palm can be poisonous to pets.","ASP Article, Crusader Habit","TRUE"
"Mayor on target in estimating city's needs","'The minimum number of infrastructure (needs) in Atlanta is $900 million.'","City Government","TRUE"
"Goodlatte says Obama has flip-flopped on his power to order immigration reform","'The President has decided to move forward with executive actions on immigration that he has said on numerous occasions that he didn’t have the constitutional power to take.'","Immigration","TRUE"
"McCain spoke up early","'John McCain stood up to the president and sounded the alarm on global warming ... five years ago.'","Environment","TRUE"
"Charlie Crist opposed in-state tuition for Dreamers in 2006, Republican Party of Florida says","'In 2006, Charlie Crist opposed in-state tuition for illegal immigrants.'","Education,Immigration","TRUE"
"The saga of state spending enforcer Jeb Bush's one-time alias, Veto Corleone","Says he was known as 'Veto Corleone' for cutting spending as Florida governor.","State Budget","TRUE"
"Free Car Prize Hidden in Textbook","A diligent student found a hidden reward tucked away in an academic work.","ASP Article, homework","TRUE"
"Sen. Ron Johnson voted for """"unlimited carbon pollution,"""" environmental group says","Says U.S. Sen. Ron Johnson voted to let oil and gas companies emit 'unlimited carbon pollution into our air'","Climate Change,Energy,Environment,Transportation","TRUE"
"Offutt Air Force Base","Photographs show a “Thank you for freedom” message plowed into a field near Offutt AFB.","ASP Article, Patriotic Displays","TRUE"
"Canadian Richard Brunt Pens Open Letter On America’s Mid-Term Elections","Canadian Richard Brunt penned an open letter about America’s midterm elections.","ASP Article","TRUE"
"Is a Newly Introduced Congressional Marijuana Bill Actually Numbered H.R. 420?","A marijuana bill introduced into the U.S. House of Representatives during the 116th Congress is numbered H.R. 420 — a reference to marijuana culture.","marijuana","TRUE"
"Essig accurate: Education austerity cuts under $500 million in proposed 2016 state budget","The governor’s budget proposal reduces the state austerity cut to education to under $500 million for 2016.","Education","TRUE"
"Crist says Floridians paying $3 billion less in property taxes","'Due to ... tax cuts and lower (property) values, 2009 property taxes were almost $3 billion below 2007 property taxes.'","Taxes","TRUE"
"Sen. George Voinovich suggests 25-cent increase in revenue-flat gasoline tax","Says that the federal gas tax has not been raised since 1993.","Infrastructure,Jobs,Taxes,Transportation","TRUE"
"McCain says Omnibus bill packed with earmarks and pork","The omnibus spending bill has '9,427 pork barrel items.'","Federal Budget","TRUE"
"Aronberg says Crist called him """"rock star""""","Says Gov. Charlie Crist has called him 'a rock star.'","Bipartisanship","TRUE"
"Obama says Romney would end wind power tax credits","Says Mitt Romney 'wants to end tax credits for wind producers.'","Energy","TRUE"
"Supreme Court candidate Rebecca Dallet's claim that she has presided over more than 10,000 cases","Says that as a judge, she has 'presided over more than 10,000 cases.'","Candidate Biography,Criminal Justice,Legal Issues","TRUE"
"Bear Rides in Motorcycle Sidecar?","A video shows a bear riding in the sidecar of a motorcycle.","bear, circus, motorcycle, russia","TRUE"
"It takes Americans 6.1 billion hours to prepare their taxes, says Virginia Foxx","Americans spend '6.1 billion hours a year' on tax preparation.","Taxes","TRUE"
"That's what the votes show, yes","'John McCain decided to stand with George Bush 95 percent of the time (last year).'","Bush Administration","TRUE"
"Did Sen. Elizabeth Warren Describe Her Race as ‘American Indian’ on Her 1986 Texas Bar Card?","U.S. Senator Elizabeth Warren listed her race as 'American Indian' on her 1986 Texas State Bar registration card.","2020 presidential election, elizabeth warren, native americans","TRUE"
"Parkland Memorial Hospital and Illegal Immigrants","70% of the women who gave birth at Parkland Memorial Hospital in the first three months of 2006 were illegal immigrants.","ASP Article","TRUE"
"Is Ohio treasurer candidate Josh Mandel a ‘decorated’ Marine?","'Decorated Marine, two-tour Iraq war vet.'","Candidate Biography,Iraq,Job Accomplishments,Message Machine 2010,Military,Public Service,Veterans","TRUE"
"Secession petition says Texas has 15th largest economy in the world","Says Texas has the 15th largest economy in the world.","Economy,States","TRUE"
"Sean Penn Letter to Washington Post","Actor Sean Penn published a letter to President George W. Bush in The Washington Post.","ASP Article, Moral Outrage","TRUE"
"Jobs Ohio claims the Buckeye State nearly tops for new jobs in last year","'In the past year alone, Ohio businesses have created more jobs than almost every other state in the country.'","Economy,Jobs","TRUE"
"Should You Bang or Honk to Save Cats Sleeping on Tires?","Cats have been gravely injured or killed after seeking warmth by hiding in wheel wells or under cars.","ASP Article, Natural Phenomena","TRUE"
"Voided Ticket Lottery Win","A lottery ticket that would have won $30 million was voided because the buyer didn’t want it.","ASP Article, Lotteries","TRUE"
"Most Syrian refugees are women and children, as Keith Ellison said","'About three-quarters of (Syrian refugees) are women and children. A full third of them are kids under 12 years old.'","Homeland Security,Immigration","TRUE"
"The Bennett Bridge Murder","A woman killed her husband over his bidding and play of a bridge hand in 1929.","ASP Article","TRUE"
"Phone call surveillance policy no mystery, congressman says","'It is against the law for the NSA to record or monitor Americans’ phone calls without getting a specific FISA warrant to do so.'","Privacy,Terrorism","TRUE"
"Tortoise and Hippo","Photograph shows a baby hippo and a giant tortoise who became friends in captivity.","animals, ASP Article, Indian Ocean Tsunami","TRUE"
"Obama says government has so far turned a profit on money used to stabilize banks","'In the first round of repayments'  from financial institutions that received TARP money, 'the government has actually turned a profit.'","Economy","TRUE"
"Black American Express Card","American Express issues a special black card that allows its holders to buy anything.","ASP Article, Bank On It, music","TRUE"
"Trump correctly tweets that Democrats mistakenly tweeted photo of child migrants being held in 2014","'Democrats mistakenly tweet 2014 pictures from Obama’s term showing children from the Border in steel cages.'","Children,Immigration","TRUE"
"Are There Floating Islands of Fire Ants in Hurricane-Flooded Areas of Texas?","There are small islands of fire ants floating in the floodwaters from Tropical Storm Harvey.","ants, fire ants, harvey, hurricane harvey","TRUE"
"Allan Fung: Former R.I. Gov. Donald Carcieri has not been campaigning with me","'Governor Carcieri has not been campaigning with me.'","Candidate Biography,Debates,Negative Campaigning","TRUE"
"Richard Cordray says Ohio payday lending law is worst in nation","'Ohio's (payday lending) laws are now the worst in the nation. Things have gotten so bad that it is legal to charge 594 percent interest on loans.'","Financial Regulation,Poverty,States","TRUE"
"Did Colin Kaepernick Donate $25,000 to a Group Honoring Assata Shakur?","Colin Kaepernick made a $25,000 donation to an activist group named after Assata Shakur, who was convicted in the murder of a police officer.","Assata Shakur, Assata's Daughters, colin kaepernick","TRUE"
"Bob Corker says Senate has not passed a budget in more than three years","'We haven’t passed a budget in more than three years and not a single appropriations bill has been brought to the floor this year.'","Congress,Federal Budget","TRUE"
"Access to legal help an issue, justice says","'Six of Georgia’s counties have no lawyers at all.'","Legal Issues","TRUE"
"Does Donald Trump Have Fake ‘Time’ Magazine Covers Displayed at His Resorts?","Fake 'Time' magazine covers featuring Donald Trump were found at several of his golf resorts.","president donald trump, time magazine, trump administration, washington post","TRUE"
"Gingrich uses Reagan record to make case for his campaign","Sixteen million jobs were created under Ronald Reagan's presidency.","Jobs","TRUE"
"3D Printer","Video clip shows a wrench being duplicated by a 3D printer.","ASP Article","TRUE"
"GOP claims video shows public B. Bernice Young Elementary School students made to sing about Obama","In a now-viral video, 'impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.''","Education","TRUE"
"Mitt Romney says Michelle Obama 'praised' Bain company Bright Horizons","At Bain Capital, 'we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.'","Candidate Biography,Job Accomplishments","TRUE"
"Trouble a-Bruin","Photographs show wild bears posing with humans on the grounds around an Alaska cottage.","animals, ASP Article","TRUE"
"Tulsa Crash","Photographs show a motorcyclist who crashed into the back of a truck.","accidents, ASP Article","TRUE"
"Tulsa Crash","Photographs show a motorcyclist who crashed into the back of a truck.","accidents","TRUE"
"Are These Real Photographs of a Fatal Motorcycle Crash?","Photographs show a motorcyclist who crashed into the back of a truck.","accidents, ASP Article","TRUE"
"Are These Real Photographs of a Fatal Motorcycle Crash?","Photographs show a motorcyclist who crashed into the back of a truck.","accidents","TRUE"
"Did a U.S. Veteran Influence Kaepernick’s ‘Take a Knee’ Protest of Police Brutality?","U.S. Army veteran Nate Boyer convinced Colin Kaepernick to kneel, rather than sit, while protesting police brutality during the national anthem.","colin kaepernick, donald trump, nfl","TRUE"
"McCain opposed 2007 war funding bill","'John McCain voted against funding the troops because of . . . a timeline in it to draw down American troops.'","Iraq","TRUE"
"Carter correct on death penalty claim","'(T)he United States government and its Constitution says that people can be put to death.'","Criminal Justice","TRUE"
"Adam Mayblum Tower Escape","World Trade Center attack survivor Adam Mayblum gave a first-person account of his harrowing escape from one of the doomed towers.","ASP Article","TRUE"
"Code Adam Origin","The protocol followed by some stores when a child is reported missing is called “Code Adam” after 6-year-old Adam Walsh, who was abducted and murdered in 1981.","ASP Article, Eponyms","TRUE"
"Gas High","Photograph shows gas station sign advertising premium gasoline for $6.07 per gallon.","ASP Article","TRUE"
"Vern Buchanan estimates debt growth during marathon Wimbledon match","The national debt 'has gone up by $1,729,000,000 during the Isner v. Mahut match.'","Federal Budget","TRUE"
"New York may raise wages for tipped workers. Here's what happened when Maine tried","After the minimum wage for tipped workers was raised in Maine, the state 'reversed that decision due to restaurant employees organizing en masse against the measure.'","Economy,Jobs","TRUE"
"Barrett says Virginia is the most populous state without a major league team","Says Virginia is the biggest state that does not have a major league sports team.","Sports","TRUE"
"In State of the Union, Obama says U.S. produces more oil than it buys","There is 'more oil produced at home than we buy from the rest of the world – the first time that’s happened in nearly 20 years.'","Economy,Energy,Trade","TRUE"
"Are These People Golfing Near a Huge Forest Fire?","A photograph shows a group of people golfing as a forest fire rages in the background.","eagle creek, golf fire, golfers, oregon fire","TRUE"
"Beck claims U.S. on track for second-biggest deficit in 65 years","'The federal government is now on track' for the second-largest budget deficit 'in 65 years.'","Federal Budget,Pundits","TRUE"
"Did a 1990 Comic Depict Trump Coming to Power and Building a Wall?","A July 1990 comic strip in Heavy Metal magazine featured a controversial wall in New York City, built by Donald Trump, and a populist 'rise to power' by the future president.","border wall, donald trump, trump, trump predictions","TRUE"
"Did NFL Player Isaiah Crowell Post an Image of a Police Officer Being Killed?","Cleveland Browns running back Isaiah Crowell once posted to his Instagram profile an artist's rendering of a hooded man cutting the throat of a police officer.","nfl","TRUE"
"Obama says White Sox can still make the playoffs","'Mathematically, the White Sox can still get in the playoffs.'","Baseball","TRUE"
"Eric Cantor says President Obama's budget adds more debt than totaled by 43 previous presidents","'The budget submitted by Obama will add more to the debt than the outstanding debt of the previous 43 presidents combined.'","Deficit,Federal Budget","TRUE"
"Did the NRA Support a 1967 ‘Open Carry’ Ban in California?","The National Rifle Association supported the passage of a 1967 bill in the California legislature banning the open carry of loaded firearms in public.","black panthers, mulford act, national rifle association, nra, open carry, ronald reagan","TRUE"
"Obituary Thieves","Burglars check newspaper obituaries so they can clean out homes while the residents are away attending funerals.","ASP Article, Criminal Intent","TRUE"
"Willard Wigen – Microscopic Art","Photographs show amazing micro-sculptures created by Willard Wigan.","ASP Article, stephanie cegielski","TRUE"
"Are administrative costs capped at 5 percent for the Portland Children's Levy?","Says the Portland Children’s Levy holds its 'administrative expenses to less than 5 percent.'","Children,City Government","TRUE"
"Gov. Rick Perry says the national debt is increasing by more than $4 billion each day","'The (federal) debt is growing by more than $4 billion a day.'","Deficit,Economy,Federal Budget","TRUE"
"Lamar Alexander says three Tennessee cities among worst five in nation for asthma","'Three of our cities are among the top five worst cities in the U.S. for asthma.'","Energy,Environment,Government regulation,Health Care,Public Health,Regulation","TRUE"
"Brigitte Gabriel’s Speech at Duke University","E-mail reproduces an “anti-terrorism” speech delivered by Brigitte Gabriel at Duke University.","ASP Article","TRUE"
"The New York Times' Paul Krugman says Texas leads the nation in the percentage of residents without health insurance","Texas leads 'the nation in the percentage of residents without health insurance.'","Health Care","TRUE"
"R.I. Sen. Algiere says legislators never got chance to debate $75-million loan guarantee for Curt Schilling's 38 Studios","'The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.'","Baseball,Corporations,Economy,State Finances,Voting Record","TRUE"
